,Unnamed: 0.1,url,fetch_date,active,removal_date,hinta,valmistusvuosi,Kohdenumero,Tyyppi,Asuintilojen pinta-ala,Kerrokset,Tontin omistus,hoitovastike,yhtiovastike_yhteensa,huoneita,tontin_vuokra-aika,katuosoite,neliohinta,neliovastike,lat,lon
42,42,https://www.etuovi.com/kohde/80399546,25072025,False,2025-07-26,114000.0,1962.0,80399546,"2h, k, kph, s, lasit.parveke",53.0,3/3 (ylin kerros),Vuokra,261.59,261.59,2,30.12.2056,Tarkka-ampujankatu 16 C,2150.943396226415,4.93566037735849,65.0033684,25.4563352
43,43,https://www.etuovi.com/kohde/20261791,25072025,True,,169000.0,2018.0,20261791,2h + kt,37.0,3/12,Oma,0.0,122.1,2,,Isokatu 87,4567.567567567568,0.0,65.003996,25.4624652
44,44,https://www.etuovi.com/kohde/20472563,25072025,True,,288000.0,2019.0,20472563,3h + kt + khh + s,69.5,3/5,Oma,215.45,217.2,3,,Isokatu 87,4143.884892086331,3.1,65.003996,25.4624652
45,45,https://www.etuovi.com/kohde/20800244,25072025,True,,209500.0,2003.0,20800244,"3h, kk, kh, sa, las.parveke",71.0,2/5,Oma,248.5,248.5,3,,Limingankatu 22,2950.7042253521126,3.5,65.0055924,25.4676362
46,46,https://www.etuovi.com/kohde/2265205,25072025,True,,75000.0,1959.0,2265205,Tilava kaksio Heinäpäässä,53.0,2/3,Vuokra,284.93,322.27,2,,Tarkka-Ampujankatu 20,1415.0943396226414,5.3760377358490565,65.0019024,25.4602419
47,47,https://www.etuovi.com/kohde/20099866,25072025,True,,349000.0,2008.0,20099866,5h + k + s,123.5,4/4,Oma,543.4,0.0,5,,Tarkka-ampujankatu 41,2825.910931174089,4.4,65.0024612,25.4605347
48,48,https://www.etuovi.com/kohde/20691712,25072025,True,,154000.0,1974.0,20691712,2h + k + kph / wc + las.parveke,57.0,2/5,Oma,225.15,367.65,2,,Isokatu 73,2701.754385964912,3.95,65.0060984,25.4649872
49,49,https://www.etuovi.com/kohde/80390431,25072025,True,,89000.0,1965.0,80390431,"2h, k, kph, lasitettu parveke",55.5,3/3 (ylin kerros),Vuokra,3.13,277.76,2,30.12.2059,Aleksanterinkatu 58 C,1603.6036036036037,0.0563963963963963,65.0116791,25.464588
50,50,https://www.etuovi.com/kohde/80388484,25072025,True,,169900.0,1976.0,80388484,"4h, k, kph / khh, wc, lasitettu parveke",85.5,4/4 (ylin kerros),Oma,324.9,449.72,4,,Aleksanterinkatu 50 D,1987.1345029239767,3.8,65.0116791,25.464588
51,51,https://www.etuovi.com/kohde/20683877,25072025,True,,55000.0,1958.0,20683877,"1h, kk, kph",37.0,2/3,Vuokra,266.4,388.5,1,30.12.2055,Harjapäänkatu 16,1486.4864864864865,7.199999999999999,65.0034227,25.4646327
